workspace_id,name,department,executive_sponsor,submitted_by,contact_email,description,driver,value,users,align,justif,maturity,spend,volume,pain,tools,sources,dataavail,integrations,realtime,technotes,sensitivity,autonomy,pii,audit,adoption,change,delivery,addnotes,stage,status,delivered_at
,AI Search Visibility and Discoverability Intelligence,Legal,COO,Procurement Analytics,reliability@intel.com,"AI search visibility and intelligence platform providing actionable insights to improve content relevance, discoverability, and share-of-voice across AI-powered search experiences.",Uptime + OEE,20-35% scrap/rework reduction,Procurement + AP,Supply-chain resilience (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Manual HR helpdesk + ticketing,"$9,000,000/yr",1.2M invoices/yr,Manual matching backlog,ERP + spreadsheets,"QM inspection, MES process params, BigQuery",Available; external ingestion effort,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,No (batch + API),Predictive models on streaming IoT; high complexity,Medium,Supervised,FALSE,Yes,High,Medium,Extend (scale smart),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Governed Personalized Marketing Content Orchestration Platform,Foundry,CIO,HR Digital Team,ap-automation@intel.com,"AI-powered content orchestration platform enabling creation, governance, personalization, and scaling of brand-compliant marketing content across channels.",Cost-to-serve + cycle time,15-25% inventory reduction,Planning org,Margin recovery (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Time-based preventive maintenance,"$7,500,000/yr",1.2M invoices/yr,Very high manual effort,Integrated business planning suite,"ERP POs/invoices, contract repository",Available across systems,Gemini for Google Workspace; Agentspace,No,Delivered on Document AI + reconciliation service,Medium,Supervised,FALSE,Yes,High,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,Co-Branded Partner Marketing Content Orchestration Platform,Sales,CEO,Quality Engineering,procurement@intel.com,AI-powered content orchestration platform scaling creation and delivery of co-branded partner marketing assets across L1-L4 partners.,Margin recovery,60-70% helpdesk deflection,Maintenance + Ops,Supply-chain resilience (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Manual HR helpdesk + ticketing,"$9,000,000/yr",All production batches,High manual effort; reactive,HCM ticketing system,"QM inspection, MES process params, BigQuery",Available; sensor data quality varies,Document AI; BigQuery; ERP connector,Yes (streaming),Predictive models on streaming IoT; high complexity,Medium,Supervised,FALSE,Yes,Medium,Medium,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,Personalized Marketing Content Supply Chain Orchestration,Legal,CHRO,Supply Chain Planning,reliability@intel.com,"AI-powered content supply chain that transforms audience, campaign, and market intelligence into governed, personalized content and experiences at scale. Connects insights, content creation, governance, and publishing workflows to accelerate campaign delivery and improve personalization effectiveness.",Uptime + OEE,25-40% unplanned downtime reduction,"110,000 employees",Yield/quality (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Manual HR helpdesk + ticketing,"$6,000,000/yr",<5% of contracts covered,Manual matching backlog,ERP + spreadsheets,"IoT sensors (Pub/Sub), maintenance history",Available across systems,Vertex AI + BigQuery ML + Looker,Yes (batch + streaming),Custom forecasting models; high complexity,Medium,Advisory,FALSE,Yes,Medium,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,Unified Brand Reputation and Narrative Intelligence,Foundry,CTO,HR Digital Team,reliability@intel.com,"Unified intelligence capability that synthesizes brand health, reputation, AI discovery, listening, and narrative signals into actionable recommendations that improve market visibility, share of voice, and communications effectiveness across traditional and AI-native channels.",Cost-to-serve + cycle time,60-70% helpdesk deflection,Procurement + AP,Margin recovery (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Manual HR helpdesk + ticketing,"$12,000,000/yr",<5% of contracts covered,Manual matching backlog,ERP + spreadsheets,"IBP demand history, external signals, BigQuery",Readily available & clean,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,Yes (API + streaming),Delivered on Document AI + reconciliation service,Medium,Automated w/ exception review,FALSE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Connected Marketing Performance and Investment Intelligence,Marketing,CIO,Supply Chain Planning,supplychain@intel.com,"Connected marketing intelligence capability that transforms commercial and consumer marketing performance data into actionable recommendations that optimize investment allocation, improve campaign effectiveness, and increase return on marketing investment (ROMI).",Yield + scrap cost,15-25% inventory reduction,"110,000 employees",Margin recovery (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Manual spot-audit of contracts vs POs,"$5,200,000/yr (pre-automation)",Enterprise IBP demand plan,Manual matching backlog,CMMS + preventive schedules,"ERP POs/invoices, contract repository",Available; external ingestion effort,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No,Native connectors; low complexity,Medium,Supervised,FALSE,Yes,Medium,Medium,Adopt (start simple),Supervisor approval on auto work orders until precision >90% on pilot line,intake,,
,Partner Performance and Request Evaluation Automation,Foundry,CIO,HR Digital Team,quality@intel.com,"Reduce effort to evaluate proof of performance, customer requests, and partner program operations.",Employee experience + cost-to-serve,15-25% inventory reduction,600 AP + procurement staff,Asset uptime (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Manual spot-audit of contracts vs POs,"$12,000,000/yr",All production batches,High manual effort; low accuracy,ERP + spreadsheets,"IoT sensors (Pub/Sub), maintenance history",Readily available & clean,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,No,Defect prediction + RCA models; high complexity,Medium,Advisory,TRUE,Yes,Medium,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,Contract Accounting Exposure and Risk Analysis,Marketing,CHRO,Quality Engineering,supplychain@intel.com,"Extract contract terms from existing customer contracts.  Measure against existing accounting standards, identify exposure and risk for remediation through Chief Accounting Office",Yield + scrap cost,20-35% scrap/rework reduction,Quality + Production,Enterprise self-service (top AI priority),Realized $4.1M annual savings; 9-day â†’ 2-day cycle,Time-based preventive maintenance,"$5,200,000/yr (pre-automation)",<5% of contracts covered,High manual effort; late detection,ERP + spreadsheets,"HCM, policy docs, benefits KB",Available across systems,Vertex AI Forecasting + BigQuery ML,No (batch + API),Predictive models on streaming IoT; high complexity,Medium,Supervised,FALSE,Yes,High,Medium,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,AI-Guided Sales and CRM Workflow Orchestration,Foundry,CFO,HR Digital Team,supplychain@intel.com,"Sales agent orchestration including CRM data entry automation, Hunting / Net New & Content AI guided workflow",Margin recovery,2-5% contract value recovered,Quality + Production,Supply-chain resilience (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Manual spot-audit of contracts vs POs,"$7,500,000/yr",1.2M invoices/yr,High manual effort; reactive,ERP + legacy OCR,"HCM, policy docs, benefits KB",Available; MES integration effort,Gemini for Google Workspace; Agentspace,No (batch + API),Cross-system reconciliation; medium complexity,Medium,Supervised,FALSE,Yes,High,Medium,Extend (scale smart),Human approval on all recovery actions; SOX control sign-off,intake,,
,AI Technical Seller Question Answering Assistant,Client Computing,CHRO,HR Digital Team,procurement@intel.com,Allows technical sellers to discover answers to technical questions ,Yield + scrap cost,60-70% helpdesk deflection,600 AP + procurement staff,Supply-chain resilience (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Statistical forecast in planning suite,"$9,000,000/yr",1.2M invoices/yr,Very high manual effort,ERP + spreadsheets,"QM inspection, MES process params, BigQuery",Available; sensor data quality varies,Vertex AI Forecasting + BigQuery ML,Yes (streaming),Defect prediction + RCA models; high complexity,Medium,Supervised,FALSE,Yes,High,Medium,Build (engineer it),Human approval on all recovery actions; SOX control sign-off,panel,,
,Sales Goal Tracking and Market Opportunity Intelligence,Finance,CTO,HR Digital Team,reliability@intel.com,"Provides SMG General Managers with internal view of progress to goals, coverage, and opportunities.  In addition, delivers external scan to identify new logo opportunities and external market trends",Uptime + OEE,15-25% inventory reduction,Planning org,Finance operational excellence,Est. annual value $48M; baseline 6.2% unplanned downtime,Delivered â€” live in production,"$6,000,000/yr",<5% of contracts covered,High manual effort; low accuracy,ERP + legacy OCR,"IBP demand history, external signals, BigQuery",Available; MES integration effort,Vertex AI + BigQuery ML + Looker,Yes (API + streaming),Cross-system reconciliation; medium complexity,Medium,Advisory,FALSE,Yes,Medium,Medium,Extend (scale smart),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Sales Pipeline Risk and Health Intelligence,Client Computing,CFO,Reliability Engineering,ap-automation@intel.com,"Sales leadership visibility to pipeline of current opportunites, synthesized clarity of risk across thousands of opportunities, actions required to improve pipeline health and shorten the sales cycle",Employee experience + cost-to-serve,85% touchless match rate,Quality + Production,Margin recovery (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Post-hoc inspection + manual RCA,"$12,000,000/yr",All production batches,High manual effort,Integrated business planning suite,"ERP POs/invoices, contract repository",Available; sensor data quality varies,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,No (batch + API),Cross-system reconciliation; medium complexity,Medium,Automated w/ exception review,TRUE,Yes,Medium,Medium,Build (engineer it),Delivered example row â€” shows how to mark a completed use case.,intake,,
,Strategic AI-Recommended Deal Exception Pricing Guidance,Client Computing,CHRO,Procurement Analytics,askhr@intel.com,"Provide recommended exception pricing based on deal history, end customer segmentation, and competitive positioning",Working capital + service level,2-5% contract value recovered,600 AP + procurement staff,Asset uptime (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Manual spot-audit of contracts vs POs,"$5,200,000/yr (pre-automation)","42,000 tickets/mo",High manual effort; late detection,Integrated business planning suite,"IoT sensors (Pub/Sub), maintenance history",Available across systems,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,Yes (batch + streaming),Predictive models on streaming IoT; high complexity,Medium,Automated w/ exception review,TRUE,Yes,Medium,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,Intelligent Customer Support and Self-Service Modernization,Legal,CEO,HR Digital Team,ap-automation@intel.com,"Intelligent Support and Ask Intel modernize customer and partner support through AI-powered self-service and agent-assisted experiences, improving productivity, reducing resolution times, and enhancing customer satisfaction with intelligent case management, conversational AI, content discovery, multilingual support, voice and messaging capabilities, and seamless escalation to live agents.",Employee experience + cost-to-serve,25-40% unplanned downtime reduction,Quality + Production,Asset uptime (top AI priority),Realized $4.1M annual savings; 9-day â†’ 2-day cycle,Delivered â€” live in production,"$5,200,000/yr (pre-automation)",Enterprise IBP demand plan,High manual effort; late detection,ERP + legacy OCR,"ERP POs/invoices, contract repository",Available across systems,Vertex AI Forecasting + BigQuery ML,No,Native connectors; low complexity,Medium,Advisory,TRUE,Yes,High,Medium,Build (engineer it),PII redaction layer verified before GA,intake,,
,AI-Optimized HPC Orchestration for Coral Rapids,Data Center Group,CFO,Supply Chain Planning,reliability@intel.com,"AI/ML capabilities (prediction, smart job placement, dynamic resource adjuster, hung job detector) are enabling HPC orchestration to efficiently meet the aggressive Coral Rapids Server SoC (3 SP Dies) tape-in schedule (early-to-mid Q1/2027)",Uptime + OEE,60-70% helpdesk deflection,Procurement + AP,Margin recovery (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Delivered â€” live in production,"$5,200,000/yr (pre-automation)",Fleet-wide equipment,Very high manual effort,QM inspection + MES,"QM inspection, MES process params, BigQuery",Readily available & clean,Vertex AI + BigQuery ML + Looker,No,Defect prediction + RCA models; high complexity,Medium,Automated w/ exception review,FALSE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,AI-Optimized HPC Orchestration for Coral Rapids 2,Foundry,COO,HR Digital Team,askhr@intel.com,"AI/ML capabilities (prediction, smart job placement, dynamic resource adjuster, hung job detector) are enabling HPC orchestration to efficiently meet the aggressive Coral Rapids Server SoC (3 SP Dies) tape-in schedule (early-to-mid Q1/2027)",Margin recovery,2-5% contract value recovered,Maintenance + Ops,Margin recovery (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Statistical forecast in planning suite,"$6,000,000/yr",Fleet-wide equipment,High manual effort,ERP + spreadsheets,"IoT sensors (Pub/Sub), maintenance history",Readily available & clean,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,Yes (API + streaming),Cross-system reconciliation; medium complexity,Medium,Supervised,TRUE,Yes,Medium,Medium,Build (engineer it),PII redaction layer verified before GA,panel,,
,AI-Accelerated Hyperscale PDK Library Characterization Workflow,Legal,COO,HR Digital Team,procurement@intel.com,1+ Million Cores Hyper Scale for single EDA workload enabled through AI/ML capabilities for 8 days completion of 14A PDK Library Characterization to achieve predictable PDK delivery schedule (8 days instead of 20 days baseline),Yield + scrap cost,60-70% helpdesk deflection,600 AP + procurement staff,Yield/quality (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Manual spot-audit of contracts vs POs,"$7,500,000/yr",1.2M invoices/yr,Very high manual effort,QM inspection + MES,"IoT sensors (Pub/Sub), maintenance history",Available; MES integration effort,Document AI; BigQuery; ERP connector,Yes (batch + streaming),Cross-system reconciliation; medium complexity,Medium,Advisory,FALSE,Yes,Medium,Low,Extend (scale smart),PII redaction layer verified before GA,intake,,
,AI-Orchestrated Cyber Vulnerability Prioritization and Remediation,Marketing,CEO,Procurement Analytics,supplychain@intel.com,"Built an orchestration harness integrating frontier cyber-focused models (Mythos, GPT-5.5) into a unified testing pipeline.
Adopted Risk based approach by focusing on external attack surface, combined with AI-augmented penetration testing, with enhanced context and accuracy through integration with source code scanning.
Ingested vulnerabilities from all existing scanning tools into the harness, using models to correlate findings, cut false positives, and prioritize by exploitability over raw severity.
Prioritized remediation efforts on the findings, CVEs most likely to be weaponized by attackers.",Margin recovery,15-25% inventory reduction,"110,000 employees",Enterprise self-service (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Manual spot-audit of contracts vs POs,"$4,000,000/yr",Fleet-wide equipment,High manual effort; late detection,HCM ticketing system,"ERP POs/invoices, contract repository",Available; MES integration effort,Gemini for Google Workspace; Agentspace,Yes (streaming),Predictive models on streaming IoT; high complexity,Medium,Supervised,TRUE,Yes,Medium,Low,Adopt (start simple),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Agentic PDK Runset and Documentation Generation,Finance,CTO,Procurement Analytics,procurement@intel.com,"PDK DRC (Design Rule Check),LVS (Layout vs Schematic), PEX (Parasitic Extraction), PERC (Programmable Electrical Rule Check) runsets are manually coded for multipe EDA suppliers from missing or informal specification. This results in manual development and QA and also PDK discrepancy sometimes found by Intel Foundry customers. Solution automates generation of runcode and documentation through machine readable input specification and Agentic AI",Yield + scrap cost,20-35% scrap/rework reduction,Procurement + AP,Supply-chain resilience (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Post-hoc inspection + manual RCA,"$5,200,000/yr (pre-automation)",<5% of contracts covered,High manual effort; late detection,ERP + legacy OCR,"ERP POs/invoices, contract repository",Available; MES integration effort,Gemini for Google Workspace; Agentspace,No,Cross-system reconciliation; medium complexity,High,Supervised,TRUE,Yes,Medium,Medium,Extend (scale smart),Supervisor approval on auto work orders until precision >90% on pilot line,intake,,
,GIO Wiki-Powered Real-Time Self-Service Support Assistant,Supply Chain,COO,Reliability Engineering,reliability@intel.com,"The ECG Team supports GIO, an internal validation tool serving ~600 global customers, but struggles to provide efficient 24x7 support with limited resources. Despite having comprehensive Wiki documentation covering most user inquiries, the team faces delays in response times and inefficient resource allocation as support staff spend time answering routine, well-documented questions instead of complex issues. Users must wait for human intervention even for readily available information. The core problem is the lack of an automated system that leverages existing Wiki documentation to provide instant, real-time answers directly within the GIO application, eliminating wait times and improving operational efficiency.",Working capital + service level,25-40% unplanned downtime reduction,Quality + Production,Supply-chain resilience (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Manual spot-audit of contracts vs POs,"$12,000,000/yr",All production batches,High manual effort,ERP + legacy OCR,"ERP POs/invoices, contract repository",Readily available & clean,Vertex AI + BigQuery ML + Looker,Yes (batch + streaming),Defect prediction + RCA models; high complexity,Medium,Automated w/ exception review,FALSE,Yes,Medium,Medium,Build (engineer it),Human approval on all recovery actions; SOX control sign-off,panel,,
,GenAI Conversion of Specifications to Machine-Readable Format,Finance,CIO,HR Digital Team,askhr@intel.com,"One of the key problems in today's Product Development is that the implementation and specification are out of sync which we are solving with our IT-PE Machine Readable Flow Application.? To achieve that, all human readable specifications need to be converted to Machine readable format, and it is a manual and quiet time-consuming process.? This process is usually done within ProMark, POR Spec Authoring Tool. By leveraging GenAI capabilities of LLMs, this process can be fairly automated by ~90-95% accuracy and reducing PlantUML generation time by 20X",Employee experience + cost-to-serve,15-25% inventory reduction,600 AP + procurement staff,Asset uptime (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Time-based preventive maintenance,"$12,000,000/yr",All production batches,High manual effort,QM inspection + MES,"ERP POs/invoices, contract repository",Readily available & clean,Document AI; BigQuery; ERP connector,No,Native connectors; low complexity,Medium,Automated w/ exception review,FALSE,Yes,Medium,Low,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Datacenter Requirements Management Self-Service AI Assistant,Marketing,COO,Supply Chain Planning,ap-automation@intel.com,"The Datacenter Requirements Management team manages the Requirements Management process for all Data Center Products, supporting approximately 750 users across 4+ product families annually. The team faces significant inefficiency as they spend considerable time answering repetitive questions about constantly evolving Requirements Management practices from users who need ongoing education and guidance. This creates a substantial time drain on the RM team's resources, preventing them from focusing on their core responsibility of streamlining and improving Requirements Management practices. The constant interruptions for routine inquiries that could be addressed through self-service AI chatbot.",Employee experience + cost-to-serve,15-25% inventory reduction,Planning org,Finance operational excellence,Est. annual value $48M; baseline 6.2% unplanned downtime,Manual spot-audit of contracts vs POs,"$4,000,000/yr","42,000 tickets/mo",High manual effort; late detection,CMMS + preventive schedules,"QM inspection, MES process params, BigQuery",Available; external ingestion effort,Vertex AI + BigQuery ML + Looker,No (batch + API),Defect prediction + RCA models; high complexity,High,Advisory,FALSE,Yes,Medium,Medium,Build (engineer it),Supervisor approval on auto work orders until precision >90% on pilot line,intake,,
,Automated Sanitized Customer Release Notes Generation,Data Center Group,COO,Supply Chain Planning,reliability@intel.com,"The CCG team faces significant inefficiencies in their customer-facing release notes process, spending 2-4 hours manually writing notes for each bug across hundreds of bugs per release. This manual approach creates multiple critical issues: inconsistent quality and formatting across release notes, substantial risk of accidentally leaking internal Intel procedures, file names, or confidential details to OEM customers, and an error-prone sanitization process that consumes excessive time. The current manual workflow cannot scale to accommodate increasing bug volumes without proportional team growth, creating a bottleneck that impacts release timelines and resource allocation. The core problem is the absence of an automated system that can generate consistent, properly sanitized customer-facing release notes while eliminating confidentiality risks and reducing the time investment from hours to minutes per bug, enabling the team to scale effectively without additional headcount.",Working capital + service level,60-70% helpdesk deflection,Quality + Production,Asset uptime (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Time-based preventive maintenance,"$9,000,000/yr",All production batches,High manual effort; late detection,QM inspection + MES,"IBP demand history, external signals, BigQuery",Readily available & clean,Document AI; BigQuery; ERP connector,No,Predictive models on streaming IoT; high complexity,Medium,Advisory,FALSE,Yes,Medium,Medium,Build (engineer it),Supervisor approval on auto work orders until precision >90% on pilot line,intake,,
,Enterprise Design Knowledge Retrieval and Reasoning Assistant,Finance,CFO,Procurement Analytics,supplychain@intel.com,"Design Knowledge Assistant (DKA) is a GenAI-powered, agentic, enterprise-scale, secure RAG-based knowledge-retrieval and reasoning platform that delivers real-time, context-aware insights to architects, designers, security engineers, and quality assurance teams. 
DKA integrates large-scale ingestion, vector semantic search, and a Design Knowledge Graph, processing 30K+ design specs and 6.5M+ HSD articles (65B+ tokens) with daily or more frequent refreshes, and provides end-to-end security across the API, agent, and other response layers.
Available through WebUI, Microsoft Teams, and APIs for seamless workflow integration.",Yield + scrap cost,20-35% scrap/rework reduction,Procurement + AP,Asset uptime (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Time-based preventive maintenance,"$7,500,000/yr",<5% of contracts covered,Very high manual effort,HCM ticketing system,"IoT sensors (Pub/Sub), maintenance history",Available; sensor data quality varies,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No,Predictive models on streaming IoT; high complexity,Medium,Advisory,FALSE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
